id,question,expected_source,expected_answer_terms
Q01,NoteLLM 支持哪些上传文件类型？,rag_workflow.md,TXT;Markdown;PDF
Q02,PDF 来源为什么可以显示页码？,rag_workflow.md,按页;页码
Q03,文本被分块前会先经过什么步骤？,rag_workflow.md,提取文本
Q04,默认分块长度是多少？,rag_workflow.md,1000
Q05,相邻分块保留多少字符重叠？,rag_workflow.md,150
Q06,哪些来源状态允许参与检索？,rag_workflow.md,ready
Q07,检索使用哪种距离度量？,rag_workflow.md,余弦
Q08,一次问题默认返回多少个候选分块？,rag_workflow.md,5
Q09,聊天模型可引用的 chunk ID 来自哪里？,rag_workflow.md,候选;分块
Q10,模型返回未知引用 ID 时后端如何处理？,rag_workflow.md,移除
Q11,没有有效引用时系统应回复什么？,rag_workflow.md,资料不足
Q12,删除来源后哪些派生数据需要清理？,rag_workflow.md,分块;向量
Q13,笔记本访问控制依赖哪个字段校验？,rag_workflow.md,owner_id
Q14,固定评测语料是否应包含个人资料？,study_protocol.md,不含个人资料
Q15,每轮实验至少要记录哪些模型信息？,study_protocol.md,嵌入模型;向量维度
Q16,为什么不应同时调整多个检索参数？,study_protocol.md,比较;配置
Q17,评测问题包含哪三种类型？,study_protocol.md,事实定位;流程理解;边界条件
Q18,Recall@5 如何判定一次命中？,study_protocol.md,前5;期望来源
Q19,引用正确率在什么情况下计算？,study_protocol.md,生成;回答
Q20,什么样的引用记为正确？,study_protocol.md,期望来源
Q21,未知引用 ID 能否计入正确率？,study_protocol.md,不能
Q22,关键词命中率能否替代人工忠实度审核？,study_protocol.md,不能;人工
Q23,报告中应使用哪些响应时间统计量？,study_protocol.md,平均值;P95
Q24,响应时间异常可能来自哪些外部因素？,study_protocol.md,网络;限流;冷启动
Q25,本地数据库容器使用什么镜像？,demo_operations.md,pgvector/pgvector:pg18
Q26,主机连接数据库时使用什么端口？,demo_operations.md,5433
Q27,数据库迁移命令应在什么目录执行？,demo_operations.md,backend
Q28,当前嵌入列的维度是多少？,demo_operations.md,1024
Q29,前端和 API 文档分别在哪两个地址查看？,demo_operations.md,localhost:5173;/docs
Q30,另一账户访问受保护笔记本应收到什么状态码？,demo_operations.md,404
Q31,演示问答前来源应显示什么状态？,demo_operations.md,ready
Q32,刷新工作区后应保留哪两类内容？,demo_operations.md,来源;会话历史
Q33,provider 未配置时密钥能否交给浏览器？,demo_operations.md,不应
Q34,provider 未配置时系统能否编造答案？,demo_operations.md,不应
